Identifiant,target,ft_2_categ,EXPO,ft_4_categ,ft_5_categ,ft_6_categ,ft_7_categ,ft_8_categ,ft_9_categ,ft_10_categ,ft_11_categ,ft_12_categ,ft_13_categ,ft_14_categ,ft_15_categ,ft_16_categ,ft_17_categ,ft_18_categ,ft_19_categ,superficief,ft_21_categ,ft_22_categ,ft_23_categ,ft_24_categ,Insee
9278,0,2012,"0,163934426",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1636,4,,0,   .,75115
5280,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4433,3,,0,   .,64189
15613,0,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2549,3,2007,0,2,92049
3124,1,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1705,2,1960,0,   .,13201
17957,0,2012,0,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,350,4,1900,0,4,6088
1015,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,2,1980,0,   .,4088
8261,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1690,3,1800,0,7,2B033
6728,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4858,1,1988,0,   .,74082
11435,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1850,3,1980,0,   .,67482
10766,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,510,4,1989,0,4,6088
6087,0,2013,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1485,3,1960,0,5,64445
5148,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,2,1960,0,   .,90010
8908,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2500,4,1975,0,6,6104
9110,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,3,,0,   .,59350
1888,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8957,2,1980,0,   .,34324
17070,0,2012,1,1,V,N,3,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,951,4,1950,0,8,75112
7493,0,2014,1,0,V,N,3,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1405,1,2004,0,3,3321
1708,0,2012,1,1,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,effpi,2,1755,4,1880,0,5,75118
19794,0,2015,"0,142465753",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,175,2,1900,0,2,34259
4100,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1468,1,1988,0,   .,73285
2673,0,2012,1,0,V,N,1,O,1,N,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,615,1,1968,0,3,74208
4522,1,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1981,2,1980,0,   .,14327
11688,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,160,4,1960,0,   .,6083
12555,0,2013,"0,328767123",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,263,2,1980,0,   .,34327
4735,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,335,3,1960,0,   .,59355
12388,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1250,2,1960,0,   .,13205
1311,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,2,,0,   .,21231
8318,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,70,4,,0,   .,6088
13303,0,2016,"0,795081967",0,V,N,1,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,495,4,1920,0.6,5,75120
429,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,440,2,,0,   .,13204
16776,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,2100,1,2002,0.3,4,74143
13501,0,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1240,4,1960,0,   .,75117
14846,0,2013,"0,849315068",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,1960,0,   .,13201
1491,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1486,2,1980,0,   .,21231
14963,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,1960,V,   .,
3564,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2110,3,,0,   .,92004
10582,0,2016,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,487,2,1900,0.3,4,13205
9806,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1600,2,1960,0,   .,13204
14282,1,2015,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,20940,2,1969,0.3,4,30133
18672,0,2013,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1584,1,1970,0,3,17300
9866,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2400,2,1980,0,   .,83123
5524,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2880,1,1980,0,   .,88196
16186,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,V,2,,2,2005,V,   .,
14359,1,2016,"0,99726776",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,3,1988,0,   .,93010
122,0,2015,1,0,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,1,815,2,1938,0,5,67482
15772,0,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,1,428,4,1930,0,4,6012
1056,0,2013,"0,41369863",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,150,4,1960,0,   .,6027
5954,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3600,1,1960,0,   .,13117
4088,0,2013,"0,230136986",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,377,1,1960,0,   .,33063
3792,0,2014,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,680,1,1995,0.3,3,5023
17485,0,2014,1,0,V,N,1,O,1,N,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,240,1,1850,0,3,10387
9179,0,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,330,2,2002,0,2,66136
16787,0,2013,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1680,2,2007,0.3,4,62571
18817,0,2012,"0,333333333",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1061,1,1960,0,4,84007
9079,0,2013,"0,591780822",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,405,3,,0,   .,59350
16987,0,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1309,1,2011,0,4,91201
9602,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5700,2,1960,0,   .,13201
8202,0,2015,0,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,2600,3,1800,0.6,8,2B033
5995,0,2016,"0,99726776",0,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,2,550,2,1930,0,3,69266
17388,1,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3143,3,2007,0.6,5,59163
6298,0,2016,1,0,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,440,2,1970,0.6,2,30133
3035,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,400,2,1900,0,3,34172
15088,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,210,2,1920,0,3,83087
11915,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,910,1,1988,0,   .,19031
1772,0,2016,"0,99726776",1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,2018,3,1970,0,3,92044
13575,1,2015,"0,909589041",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,pi,2,2600,3,1960,0.6,5,93077
11554,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,650,2,1960,0,   .,63113
3850,0,2015,"0,857534247",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3325,1,1988,0,   .,5023
18210,0,2014,"0,246575342",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,1,2145,1,2012,0,5,27229
10813,1,2015,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,806,3,1870,0,5,33063
12209,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,886,3,1960,0,   .,93029
10895,1,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,30745,2,1980,0,   .,83009
9546,1,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2450,2,1960,0,   .,13204
5956,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,O,base,2,2000,2,1980,0,   .,11202
8323,1,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3850,2,1980,0,   .,38229
273,0,2013,"0,457534247",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2100,2,1965,0.6,5,14118
17837,0,2013,1,0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,base,1,310,1,1900,0,3,5052
14211,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,2,,0,   .,31555
6267,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2250,1,1988,0,   .,74164
4895,0,2015,1,1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,480,1,1983,0.3,3,13103
7159,1,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,950,4,1960,0,   .,6012
3503,1,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2478,2,1988,0,   .,69297
12457,0,2013,"0,246575342",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,510,2,1980,0,   .,44109
13997,0,2013,"0,21369863",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5912,1,1988,0,   .,13103
5130,0,2016,"0,99726776",0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,1936,2,1930,0,7,63113
5089,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,300,1,1980,0,   .,85194
18185,0,2014,0,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,4235,4,1970,0,9,75118
19441,0,2014,0,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,600,2,1920,0,2,77135
5209,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,336,3,,0,   .,64483
864,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,V,base,2,1200,4,,0,   .,75115
5984,0,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,250,2,,0,   .,69243
7961,0,2014,1,1,O,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,3,,0,   .,83137
10033,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,3207,2,1982,0.6,3,66171
18831,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1100,2,1975,0,7,64122
16734,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,1260,2,1980,0,5,83123
1921,1,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,464,1,1960,0,   .,44036
5048,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,649,3,,0,   .,64483
19221,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,1425,2,1950,0,7,13205
3610,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,280,2,,0,   .,64024
9790,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2190,2,,0,   .,26220
799,0,2016,"0,494535519",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,1,800,3,1960,0,   .,94002
14556,1,2014,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3480,4,,0,   .,75114
12413,1,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6808,3,1960,0,   .,92049
15834,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,6100,2,2007,0,5,13215
13580,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,510,2,1960,0,   .,64122
15587,1,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,10900,3,2009,0.3,5,59599
13726,1,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1050,2,1960,0,   .,13208
9922,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1000,2,1960,0,   .,13001
11378,1,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1210,4,1900,0,6,75109
6566,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1310,1,1988,0,   .,74180
90,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4685,1,1980,0,   .,13005
11562,0,2015,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,190,4,1980,0,   .,6029
18673,0,2013,"0,495890411",1,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1500,3,1987,0,3,67482
15412,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,450,1,1960,0.3,1,84129
8532,0,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,420,4,1890,0,5,6029
13918,1,2012,1,1,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,4400,4,1965,1,6,6088
11436,0,2012,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,593,2,2005,0.6,4,59663
12660,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,effpi,2,1076,3,1980,0,4,59350
941,0,2016,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1350,1,1988,0,   .,74056
17338,0,2013,"0,457534247",1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,1240,4,1900,0,7,75117
7484,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,780,1,1988,0,   .,17094
8754,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,779,4,,0,   .,6088
6647,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,5320,3,1988,0,   .,83137
11242,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,6300,4,1988,0,   .,6004
10159,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2205,2,1960,0,   .,63113
18872,0,2013,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1015,3,1920,0,5,92012
16816,0,2012,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,3000,2,1960,0,5,57160
6512,0,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,320,1,,0,   .,91064
13057,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1090,1,1960,0.6,4,8409
8988,0,2014,1,0,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,180,3,1900,0,2,92036
8012,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,540,1,2003,0,4,35288
17181,0,2015,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,pi,2,3206,3,1989,0.6,6,33063
3189,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,10300,1,,0,   .,63113
7980,0,2016,"0,99726776",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,840,2,,0,   .,83112
18854,0,2016,1,0,V,N,2,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,1350,1,1971,0,8,10387
9760,1,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,2,1980,0,   .,29072
676,0,2015,"0,665753425",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,410,4,,0,   .,75119
11096,0,2014,1,1,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,850,2,1980,0,3,83115
8384,0,2016,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,3,,0,   .,83137
17913,0,2012,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,4000,2,2005,0,4,57463
14918,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,260,2,1960,0,   .,38416
5976,0,2012,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,effpi,2,255,2,1900,0,4,69383
3251,0,2015,0,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,3,,0,   .,38185
6472,0,2013,"0,580821918",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,7600,3,1980,0,   .,92022
11761,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,420,1,1960,0,   .,74159
4500,0,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1400,1,1960,0,   .,91174
8415,0,2013,"0,665753425",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,980,2,,0,   .,13206
17486,0,2016,"0,99726776",0,V,N,1,O,1,N,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,240,1,1850,0,3,10387
19371,0,2016,"0,99726776",0,V,N,3,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,350,3,1992,0.3,5,67482
13698,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,250,3,1850,0.6,4,33063
10651,0,2013,"0,997260274",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3115,2,1988,0,   .,90010
1774,1,2013,"0,180821918",1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1040,4,1930,0,7,75109
5150,1,2014,1,1,O,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1956,4,1988,0,   .,6104
18825,0,2013,1,1,V,N,3,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,effpi,2,2200,3,1920,0,6,67482
6759,0,2013,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,450,2,1900,0,3,34172
3802,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,595,1,1960,0,   .,1053
17819,0,2016,"0,912568306",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,V,2,1528,4,2000,0,4,6138
2140,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,134,2,1960,0,   .,31555
15935,0,2012,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,base,2,1100,4,1920,0,7,6012
10942,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,12970,4,1979,0,5,6069
14323,0,2016,"0,99726776",0,V,N,1,O,1,O,N,O,N,N,AUTRE,IDENTIQUE,V,pi,2,12721,4,1960,0,8,6088
17599,1,2012,1,1,V,N,2,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,4725,2,1958,0,5,83137
2703,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,245,2,1991,0.6,3,38416
15467,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,800,2,2009,0.6,3,34113
18313,0,2016,"0,24863388",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,4374,2,2002,0,3,83115
6218,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,210,1,1960,0,   .,91174
18306,1,2013,1,1,V,N,1,O,1,O,N,N,O,O,AUTRE,IDENTIQUE,V,base,2,1660,3,1850,0,6,92051
8938,0,2013,"0,098630137",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8360,4,,0,   .,6083
8930,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8278,4,,0,   .,6083
9759,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1300,2,1980,0,   .,29072
8034,1,2013,"0,975342466",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,2,,0,   .,62025
16812,0,2012,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,3400,2,1972,0.3,4,68271
5772,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1986,1,1980,0,   .,35093
18117,0,2012,1,1,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,6036,2,2011,0.3,3,69256
9332,1,2012,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2900,3,1960,0,   .,94052
10679,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,450,2,1960,0,   .,13201
14236,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1600,2,1980,0,   .,30028
7661,0,2014,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,600,2,1960,0,   .,13201
13233,0,2013,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,200,2,1960,0,   .,13202
9243,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,680,2,,0,   .,59295
19181,0,2013,"0,838356164",0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,970,2,1988,0.3,4,30133
7984,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,700,2,1980,0,   .,83126
3081,1,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1900,2,1988,0,   .,68056
18145,0,2012,"0,915300546",0,V,N,3,O,1,O,N,N,N,O,AUTRE,IDENTIQUE,V,base,2,815,2,1800,0.6,3,68067
16093,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1554,2,2010,0,4,63113
15830,0,2014,1,0,V,N,3,O,1,O,N,O,N,O,AUTRE,IDENTIQUE,V,base,1,585,1,1954,0.6,2,13056
8326,0,2012,1,1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2760,3,,0,   .,38185
15738,0,2016,"0,99726776",0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,999,1,2006,0,4,19031
10935,0,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,4022,2,1960,0,   .,83923
10000,0,2013,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,580,2,1960,0,   .,13205
7267,0,2013,1,0,V,N,1,O,1,N,N,N,N,O,AUTRE,IDENTIQUE,V,pi,2,470,2,1900,0,4,38386
8163,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,293,4,,0,   .,6029
4695,1,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,2485,1,1988,0,   .,43157
1412,0,2013,"0,663013699",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,380,3,,0,   .,64483
9451,0,2015,0,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,150,2,,0,   .,59152
6722,0,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,500,1,,0,   .,13007
2786,0,2013,1,1,V,N,2,O,1,O,N,O,O,O,AUTRE,IDENTIQUE,V,effpi,2,1874,4,1955,0,5,6088
10133,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,618,2,1960,0,   .,13206
8437,0,2012,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,1400,2,1988,0.3,3,64102
8763,0,2015,1,0,V,N,1,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,2,150,4,1900,0,2,6083
885,0,2013,"0,665753425",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,350,2,,0,   .,66136
5545,1,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,8570,4,1960,0,   .,6088
17704,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,732,1,1964,0.3,1,74010
7691,1,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,11112,2,2005,0,7,13208
199,0,2012,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,720,2,1960,0,   .,42218
14678,0,2012,1,0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1196,1,1980,0,   .,84137
5838,0,2012,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,pi,2,2150,1,1983,0,4,63075
8461,0,2015,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,270,4,1960,0,   .,6159
4708,0,2015,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,100,2,,0,   .,95555
7339,0,2013,"0,832876712",0,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,1440,1,1980,0,   .,58194
7671,1,2013,1,1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3084,4,1960,0,   .,75116
18171,1,2014,1,1,V,N,1,O,1,O,N,N,O,N,AUTRE,IDENTIQUE,V,effpi,2,1736,4,1950,0,7,75117
2275,1,2016,"0,99726776",0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,550,2,,0,   .,67447
5985,0,2013,"0,361643836",1,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,470,2,,0,   .,69052
4889,0,2014,1,0,V,V,V,V,V,V,V,V,V,V,V,V,N,base,2,3120,2,1980,0,   .,83009
379,1,2012,1,0,V,N,1,O,1,O,N,O,O,N,AUTRE,IDENTIQUE,V,base,2,6500,1,1979,0.6,5,36044
11319,0,2014,1,0,V,N,2,O,1,O,N,N,N,N,AUTRE,IDENTIQUE,V,base,1,4500,2,1973,0,6,29019
14379,0,2012,"0,467213115",1,N,V,V,V,V,V,V,V,V,V,V,V,N,base,2,100,2,1980,0,   .,13210
